State,County,Value,Gender,Race/Ethnicity,Lat,Lng,Fast Food Count
TN,Cannon County,479.7,Overall,Overall,35.81363,-86.056478,20
TX,Martin County,479.6,Overall,Overall,32.306634,-101.952,20
PA,Schuylkill County,479.3,Overall,Overall,40.708252,-76.221918,20
LA,Bienville Parish,479.3,Overall,Overall,32.350949,-93.053836,20
AL,Hale County,479.2,Overall,Overall,32.769973,-87.626815,16
GA,Tattnall County,478.9,Overall,Overall,32.04326,-82.056101,20
MS,George County,478.5,Overall,Overall,30.865275,-88.640268,10
AL,Conecuh County,478.5,Overall,Overall,31.436316,-86.992084,20
AL,Lamar County,478.4,Overall,Overall,33.78226,-88.094104,20
GA,Crisp County,478.3,Overall,Overall,31.919624,-83.767576,20
TN,Unicoi County,478.3,Overall,Overall,36.114384,-82.42511,19
KY,Adair County,478.2,Overall,Overall,37.103892,-85.28886,20
MO,Jasper County,478.1,Overall,Overall,37.204494,-94.344055,20
MI,Oscoda County,478.1,Overall,Overall,44.683267,-84.132534,6
AR,Jackson County,478.1,Overall,Overall,35.601126,-91.214871,9
GA,Toombs County,477.8,Overall,Overall,32.117368,-82.326351,20
MS,Montgomery County,477.6,Overall,Overall,33.49822,-89.61413,20
MO,Taney County,477.6,Overall,Overall,36.649949,-93.048061,20
AR,Boone County,477.4,Overall,Overall,36.306595,-93.088295,19
NY,Richmond County,477.4,Overall,Overall,40.580523,-74.147253,20
IA,Humboldt County,476.9,Overall,Overall,42.7797,-94.215341,20
GA,Wayne County,476.7,Overall,Overall,31.549785,-81.910739,20
OK,Stephens County,476.5,Overall,Overall,34.489846,-97.849094,20
NY,Cattaraugus County,476.4,Overall,Overall,42.252395,-78.675327,17
TN,Humphreys County,476.4,Overall,Overall,36.045057,-87.775384,20
MS,Jones County,476.2,Overall,Overall,31.62542,-89.161677,20
MS,Walthall County,476.1,Overall,Overall,31.152285,-90.102749,20
MD,Wicomico County,475.6,Overall,Overall,38.374574,-75.616745,20
AR,Drew County,475.5,Overall,Overall,33.590266,-91.710259,20
MO,Wright County,475.5,Overall,Overall,37.273435,-92.472282,13
LA,Rapides Parish,475.5,Overall,Overall,31.201626,-92.528271,20
AR,Yell County,474.9,Overall,Overall,35.005232,-93.402609,20
