,County,State,Hospital Count
695,Cumberland County,TN,3
696,Cumberland County,VA,2
697,Cuming County,NE,10
698,Currituck County,NC,20
699,Curry County,NM,4
700,Curry County,OR,3
701,Custer County,ID,1
702,Custer County,MT,2
703,Custer County,NE,4
704,Custer County,OK,5
705,Custer County,SD,1
706,Cuyahoga County,OH,20
707,Dade County,GA,13
708,Dade County,MO,3
709,Dakota County,MN,20
710,Dakota County,NE,12
711,Dale County,AL,1
712,Dallam County,TX,2
713,Dallas County,AL,11
714,Dallas County,AR,1
715,Dallas County,IA,1
716,Dallas County,MO,1
717,Dallas County,TX,20
718,Dane County,WI,20
719,Daniels County,MT,1
720,Danville City,VA,7
721,Dare County,NC,2
722,Darke County,OH,1
723,Darlington County,SC,20
724,Dauphin County,PA,20
725,Davidson County,NC,20
726,Davidson County,TN,19
727,Davie County,NC,1
728,Daviess County,IN,1
729,Daviess County,KY,1
730,Daviess County,MO,1
731,Davis County,IA,1
732,Davis County,UT,5
733,Davison County,SD,4
734,Dawes County,NE,2
735,Dawson County,GA,8
736,Dawson County,MT,1
737,Dawson County,NE,6
738,Dawson County,TX,3
739,Day County,SD,2
740,De Soto Parish,LA,18
741,De Witt County,IL,5
742,DeKalb County,AL,1
743,DeKalb County,GA,20
744,DeKalb County,IL,15
745,DeKalb County,IN,1
746,DeKalb County,MO,2
747,DeKalb County,TN,1
748,DeSoto County,FL,1
749,DeSoto County,MS,1
750,DeWitt County,TX,8
751,Deaf Smith County,TX,1
752,Dearborn County,IN,1
753,Decatur County,GA,1
754,Decatur County,IA,1
755,Decatur County,IN,1
756,Decatur County,KS,1
757,Decatur County,TN,1
758,Deer Lodge County,MT,7
759,Defiance County,OH,9
760,Del Norte County,CA,2
761,Delaware County,IA,1
762,Delaware County,IN,1
763,Delaware County,NY,11
764,Delaware County,OH,20
765,Delaware County,OK,20
766,Delaware County,PA,11
767,Delaware,DE,20
768,Delta County,CO,1
769,Delta County,MI,8
770,Delta County,TX,2
771,Denali,AK,1
772,Dent County,MO,2
773,Denton County,TX,20
774,Denver County,CO,20
775,Des Moines County,IA,5
776,Deschutes County,OR,20
777,Desha County,AR,4
778,Deuel County,SD,2
779,Dewey County,OK,3
780,Dewey County,SD,3
781,Dickens County,TX,1
782,Dickey County,ND,5
783,Dickinson County,IA,6
784,Dickinson County,KS,1
785,Dickinson County,MI,2
786,Dickson County,TN,2
787,Dillingham,AK,1
788,Dillon County,SC,1
789,Dimmit County,TX,1
790,Dinwiddie County,VA,11
791,District of Columbia County,DC,20
792,District of Columbia,DC,20
793,Divide County,ND,5
794,Dixie County,FL,2
795,Dixon County,NE,8
796,Doddridge County,WV,4
797,Dodge County,GA,1
798,Dodge County,MN,20
799,Dodge County,NE,5
800,Dodge County,WI,13
801,Dolores County,CO,10
802,Dona Ana County,NM,20
803,Doniphan County,KS,9
804,Donley County,TX,2
805,Dooly County,GA,13
806,Door County,WI,4
807,Dorado Municipio,PR,20
808,Dorchester County,MD,2
809,Dorchester County,SC,14
810,Dougherty County,GA,20
811,Douglas County,CO,12
812,Douglas County,GA,2
813,Douglas County,IL,8
814,Douglas County,KS,2
815,Douglas County,MO,11
816,Douglas County,NE,20
817,Douglas County,NV,1
818,Douglas County,SD,1
819,Douglas County,WA,2
820,Douglas County,WI,10
821,Drew County,AR,4
822,DuPage County,IL,20
823,Dubois County,IN,3
824,Dubuque County,IA,19
825,Duchesne County,UT,1
826,Dukes County,MA,4
827,Dundy County,NE,2
828,Dunklin County,MO,18
829,Dunn County,ND,4
830,Dunn County,WI,6
831,Duplin County,NC,1
832,Durham County,NC,20
833,Dutchess County,NY,20
834,Duval County,FL,20
835,Dyer County,TN,14
836,Eagle County,CO,11
837,Early County,GA,1
838,East Baton Rouge Parish,LA,20
839,East Carroll Parish,LA,1
840,East Feliciana Parish,LA,14
841,Eastland County,TX,2
842,Eaton County,MI,2
843,Eau Claire County,WI,20
844,Echols County,GA,6
845,Ector County,TX,15
846,Eddy County,NM,6
847,Edgar County,IL,20
848,Edgecombe County,NC,1
849,Edgefield County,SC,1
